\\DIONEX124-1\C$\LC Data,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\Dionex124-1
\\DIONEX132-1\c$\QA Logs and Maintenance,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\Dionex132-1
\\DIONEX132-2-PC\D$,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\Dionex132-2
\\HPLC16\F$\WatersAA\projects,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC16\Empower
\\HPLC30-132\D$,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC30-132
\\HPLC34\D$,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC34\Data
\\HPLC34\C$\Chem32,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC34\Chem32
\\HPLC39\D$\LC Data,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC39\LC Data
\\HPLC39\C$\Chem32,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC39\Chem32
\\HPLC42-063\D$\LC Data,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC42-063\LC Data
\\HPLC42-063\C$\Chem32,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC42-063\Chem32
\\HPLC49-132\D$\Data,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC49-132\Data
\\HPLC56\D$\DATA,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC56\Data
\\HPLC57-132\D$,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC57-132
\\HPLCUV-097\D$\chem32,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLCUV-097\Chem32
\\HPLCUV-097\D$\old data,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLCUV-097\Old Data
\\IC-8\c$\QA Logs and Maintenance,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\IC-8
\\IC-9\c$\QA Logs and Maintenance,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\IC-9
\\IC9MS\c$\Xcalibur,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\IC-9\xcalibur
\\IC9MS\c$\thermo,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\IC-9\thermo
\\PA800PLUS\C$\32Karat\Data,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\PA800PLUS\Data
\\PA800PLUS\C$\32Karat\projects,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\PA800PLUS\Projects
\\USFDAFORENSIC\c$\QA Logs and Maintenance,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\IC-10
\\Waters-lc1-124\F$\WatersAA\projects,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\HPLC19\Empower
\\Waters-lc-132\F$\WatersAA\projects,\\NAS4\veeam-nas4\Instrument_Data\LC_IC_CE\Waters-LC-132\Empower
